                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    114,                 1.9084,                 1.6516,                 1.3694,                0.54634,                0.37295,                0.35094,                0.13751,                 2.1135,                 2.3077,                 1.5354,               0.006304,               0.006304,               0.006304
                    115,                 1.7769,                 1.4793,                 1.3262,                0.66008,                 0.3871,                0.41617,                0.16464,                 2.1525,                 2.1467,                 1.5523,               0.006271,               0.006271,               0.006271
                    116,                 1.8256,                 1.5515,                 1.3259,                0.62869,                0.37419,                0.38205,                0.14936,                 2.1608,                 2.3504,                 1.5406,               0.006238,               0.006238,               0.006238
                    117,                 1.7657,                 1.4784,                 1.3201,                0.57253,                0.39355,                0.37153,                0.15234,                 2.1743,                 2.3977,                 1.5713,               0.006205,               0.006205,               0.006205
                    118,                 1.8583,                 1.5238,                 1.3603,                0.67202,                0.36774,                0.38602,                0.15249,                 2.1603,                 2.4266,                 1.5705,               0.006172,               0.006172,               0.006172
                    119,                 1.7435,                 1.4416,                 1.3157,                0.61568,                0.36774,                0.38563,                0.15674,                  2.184,                 2.3478,                 1.5751,               0.006139,               0.006139,               0.006139
                    120,                 1.7668,                 1.4932,                  1.284,                0.59448,                    0.4,                0.38984,                0.15594,                 2.1965,                 2.4426,                 1.6159,               0.006106,               0.006106,               0.006106
                    121,                 1.7685,                 1.4148,                 1.3351,                0.53086,                 0.3871,                0.36313,                0.13998,                  2.215,                 2.4158,                 1.5964,               0.006073,               0.006073,               0.006073
                    122,                 1.8133,                 1.4636,                  1.353,                 0.6271,                 0.3689,                0.36868,                0.15335,                 2.1426,                 2.4244,                 1.5621,                0.00604,                0.00604,                0.00604
                    123,                 1.7156,                 1.4841,                 1.2752,                0.54289,                0.38313,                0.36699,                0.14463,                 2.1405,                 2.2653,                 1.5553,               0.006007,               0.006007,               0.006007
                    124,                  1.772,                 1.4667,                 1.3162,                 0.6366,                0.34839,                 0.3675,                0.14366,                   2.17,                 2.3958,                 1.5591,               0.005974,               0.005974,               0.005974
                    125,                 1.7798,                 1.4828,                 1.3189,                0.63978,                0.40645,                0.37268,                0.14541,                 2.1847,                 2.2628,                 1.5592,               0.005941,               0.005941,               0.005941
                    126,                 1.6851,                 1.4263,                 1.2441,                0.66353,                0.38169,                0.38495,                0.15133,                 2.1747,                 2.3425,                 1.5349,               0.005908,               0.005908,               0.005908
                    127,                 1.7235,                 1.4525,                 1.2899,                0.67113,                0.36774,                0.38512,                0.15209,                 2.1538,                 2.4411,                  1.521,               0.005875,               0.005875,               0.005875
                    128,                 1.7951,                 1.4176,                 1.3326,                0.65359,                0.37736,                0.40089,                 0.1489,                 2.1812,                  2.255,                  1.555,               0.005842,               0.005842,               0.005842
                    129,                 1.7253,                 1.4099,                 1.2754,                 0.5836,                0.40645,                0.38594,                0.14737,                 2.2065,                 2.3271,                 1.5511,               0.005809,               0.005809,               0.005809
                    130,                 1.7077,                 1.3389,                 1.2901,                0.62061,                 0.3694,                0.35982,                0.13589,                 2.1765,                 2.4627,                  1.521,               0.005776,               0.005776,               0.005776
